amount,hour_of_day,transaction_type,is_foreign_country,account_age_days,num_transactions_today,distance_from_home_km,is_fraud
33.04,13,purchase,0,516,3,12.39,0
143.44,22,online,0,1719,1,1.01,0
52.14,6,withdrawal,0,1297,3,3.88,0
26.19,16,withdrawal,0,2408,2,0.03,0
103.63,12,purchase,0,2494,1,1.55,0
36.26,21,purchase,0,2162,5,4.59,0
38.72,15,purchase,0,2283,2,0.6,0
121.26,12,purchase,0,3552,3,10.67,0
1505.14,18,withdrawal,0,127,3,55.66,1
77.94,14,purchase,0,1324,3,15.81,0
122.89,14,withdrawal,0,3294,2,2.51,0
115.81,19,purchase,1,1236,1,4.45,0
5.62,14,online,0,2279,2,0.96,0
21.25,16,purchase,0,1805,1,7.11,0
48.14,10,withdrawal,0,2862,2,1.26,0
101.39,15,purchase,0,3444,3,12.01,0
65.9,21,purchase,0,1867,0,0.13,0
59.42,19,purchase,0,3017,3,10.05,0
96.28,8,purchase,0,1312,3,26.78,0
101.3,9,purchase,0,1642,0,8.07,0
31.1,10,withdrawal,0,2140,3,0.16,0
33.62,16,purchase,0,719,0,0.61,0
44.86,11,purchase,0,1287,2,7.86,0
66.09,10,purchase,0,2178,1,0.5,0
27.82,7,purchase,0,2815,2,4.56,0
135.02,9,purchase,1,1589,3,1.2,0
54.38,14,purchase,0,1466,2,23.68,0
34.91,22,purchase,0,2463,3,1.56,0
58.18,8,withdrawal,0,3476,2,21.53,0
229.26,20,online,0,55,0,18.59,0
35.68,22,purchase,0,1732,2,3.14,0
109.65,17,withdrawal,0,1334,3,31.45,0
66.59,7,transfer,0,467,1,22.3,0
27.49,14,purchase,0,3173,0,3.5,0
64.5,18,purchase,0,181,3,21.82,0
51.31,12,transfer,0,2571,2,21.4,0
5.18,13,purchase,0,615,1,8.44,0
49.0,12,purchase,0,1273,0,24.48,0
125.16,11,transfer,0,2333,1,5.05,0
182.16,13,purchase,0,458,2,15.62,0
73.01,8,purchase,0,657,2,72.09,0
182.12,9,withdrawal,0,1961,5,11.77,0
99.13,6,purchase,0,1448,4,6.5,0
40.75,6,transfer,0,961,0,5.1,0
53.85,14,purchase,0,980,4,30.03,0
473.2,2,online,1,169,5,692.71,1
65.38,19,transfer,0,406,1,6.61,0
